0,88
1,44
1,45
2,82
2,28
3,43
3,101
4,56
4,97
5,90
5,78
6,12
6,30
7,36
7,86
8,16
8,51
9,37
9,38
10,92
10,29
11,80
11,90
11,102
12,93
12,45
13,65
13,75
13,62
14,17
14,34
14,100
15,60
15,102
15,103
16,41
16,70
17,77
17,85
18,95
18,30
18,87
19,97
19,92
19,79
20,69
20,86
20,23
21,41
21,82
21,103
22,98
22,83
22,94
23,60
23,93
24,100
24,52
24,37
25,80
25,81
25,52
25,29
26,72
26,51
26,54
26,71
27,66
27,76
27,85
27,93
28,56
28,96
28,55
29,98
29,85
30,70
30,74
31,96
31,88
31,90
31,77
32,66
32,75
32,100
32,78
33,91
33,58
33,67
33,68
34,75
34,36
34,37
35,48
35,89
35,59
35,101
36,48
36,73
37,61
38,104
38,75
38,59
39,80
39,58
39,92
39,47
40,81
40,84
40,101
40,71
41,66
41,101
42,63
42,99
42,53
42,69
43,102
43,45
43,78
44,64
44,98
44,100
44,71
45,48
45,87
46,88
46,57
46,76
46,69
46,85
47,96
47,49
47,58
47,60
48,56
48,49
49,66
49,83
49,52
50,64
50,55
50,51
50,94
50,103
51,75
51,86
52,70
52,104
53,80
53,65
53,74
53,102
54,102
54,82
54,62
54,63
55,72
55,92
55,86
56,68
56,71
57,64
57,65
57,74
57,62
58,82
58,97
59,72
59,73
59,67
60,83
60,82
61,95
61,74
61,83
61,77
62,94
62,100
63,89
63,91
63,84
64,104
64,68
65,104
65,81
66,95
67,74
67,82
67,79
68,89
68,103
69,78
69,71
69,91
70,96
70,77
70,93
71,101
72,88
72,104
72,73
73,87
73,93
73,95
74,94
75,97
76,99
76,101
76,78
76,95
77,99
77,88
78,99
79,101
79,102
79,90
79,94
80,81
80,82
81,99
81,91
81,94
83,96
83,84
83,100
84,96
84,88
84,100
84,103
85,99
85,86
85,90
86,97
86,87
87,102
87,98
87,93
88,99
89,101
89,103
89,91
89,92
90,96
90,104
91,96
91,95
92,98
92,95
93,99
93,95
94,97
94,98
97,98
97,104
98,102
98,103
99,104
100,104
100,101
102,103
103,104
